param			w			W_T			dkr1			W			dkv1_of			supp	load	G			dkr1_k			
14.02.2018_1:22:47	524.788818359375	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	37.1819953918457	6.20352250489237	
14.02.2018_1:22:49	524.788818359375	2.54859298706055	1.83953033268102	2.47553816046967	0.0238726790450934	0	1	36.8884544372559	6.1839530332681		
14.02.2018_1:22:50	524.788818359375	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	36.7906074523926	6.1839530332681		
14.02.2018_1:22:51	524.892456054688	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:22:53	524.892456054688	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	37.279842376709		6.1839530332681		
14.02.2018_1:22:54	524.892456054688	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	36.9863014221191	6.1839530332681		
14.02.2018_1:22:56	524.892456054688	2.54859298706055	1.83953033268102	2.4853228962818		0.0238726790450934	0	1	36.6927604675293	6.20352250489237	
14.02.2018_1:22:57	524.892456054688	2.54859298706055	1.83953033268102	2.4853228962818		0.0211640211640212	0	1	37.0841484069824	6.1839530332681		
14.02.2018_1:22:58	524.892456054688	2.54859298706055	1.83953033268102	2.4853228962818		0.0211640211640212	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:23:00	524.996154785156	2.54859298706055	1.85909980430528	2.4853228962818		0.0211640211640212	0	1	37.0841484069824	6.20352250489237	
14.02.2018_1:23:01	524.996154785156	2.54859298706055	1.85909980430528	2.50489236790607	0.0184696569920839	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:23:03	524.996154785156	2.54859298706055	1.85909980430528	2.4853228962818		0.0211640211640212	0	1	36.9863014221191	6.20352250489237	
14.02.2018_1:23:04	524.996154785156	2.54859298706055	1.85909980430528	2.50489236790607	0.0184696569920839	0	1	36.8884544372559	6.20352250489237	
14.02.2018_1:23:06	524.996154785156	2.54859298706055	1.85909980430528	2.50489236790607	0.0158730158730149	0	1	36.7906074523926	6.20352250489237	
14.02.2018_1:23:07	524.996154785156	2.54859298706055	1.85909980430528	2.50489236790607	0.0184696569920839	0	1	37.0841484069824	6.22309197651663	
